7;9.468e-06;7;breadth_first_search;147;07:57 07-05-2026
7;1.4246e-05;7;breadth_first_search;147;07:57 07-05-2026
7;9.397e-06;7;breadth_first_search;147;07:57 07-05-2026
7;9.508e-06;7;best_first_search;147;07:57 07-05-2026
7;1.6181e-05;7;best_first_search;147;07:57 07-05-2026
7;1.613e-05;7;best_first_search;147;07:57 07-05-2026
7;1.2404e-05;7;best_first_search;147;07:57 07-05-2026
7;1.4969e-05;7;best_first_search;147;07:57 07-05-2026
8;1.4478e-05;8;breadth_first_search;149;07:57 07-05-2026
8;1.4998e-05;8;breadth_first_search;149;07:57 07-05-2026
8;1.4518e-05;8;breadth_first_search;149;07:57 07-05-2026
8;1.4607e-05;8;breadth_first_search;149;07:57 07-05-2026
8;1.4417e-05;8;breadth_first_search;149;07:58 07-05-2026
8;1.4196e-05;8;best_first_search;149;07:58 07-05-2026
8;1.9345e-05;8;best_first_search;149;07:58 07-05-2026
8;2.3063e-05;8;best_first_search;149;07:58 07-05-2026
8;1.4367e-05;8;best_first_search;149;07:58 07-05-2026
8;2.2391e-05;8;best_first_search;149;07:58 07-05-2026
9;5.4973e-05;9;breadth_first_search;140;07:58 07-05-2026
9;5.4131e-05;9;breadth_first_search;140;07:58 07-05-2026
9;7.1063e-05;9;breadth_first_search;140;07:58 07-05-2026
9;6.932e-05;9;breadth_first_search;140;07:58 07-05-2026
9;5.4222e-05;9;breadth_first_search;140;07:58 07-05-2026
9;5.2729e-05;9;best_first_search;140;07:58 07-05-2026
9;6.3089e-05;9;best_first_search;140;07:58 07-05-2026
9;6.6846e-05;9;best_first_search;140;07:58 07-05-2026
9;6.6885e-05;9;best_first_search;140;07:58 07-05-2026
9;5.2468e-05;9;best_first_search;140;07:58 07-05-2026
10;0.00208369;10;breadth_first_search;102;07:58 07-05-2026
10;0.00208278;10;breadth_first_search;102;07:58 07-05-2026
10;0.00208795;10;breadth_first_search;102;07:58 07-05-2026
10;0.00208607;10;breadth_first_search;102;07:58 07-05-2026
10;0.00208569;10;breadth_first_search;102;07:58 07-05-2026
10;5.5144e-05;10;best_first_search;102;07:58 07-05-2026
10;7.6474e-05;10;best_first_search;102;07:58 07-05-2026
10;6.7406e-05;10;best_first_search;102;07:58 07-05-2026
10;5.9732e-05;10;best_first_search;102;07:58 07-05-2026
