binmacro,5,6,7,8,9,10,11,12,13,14
0-5s,,,,,,,,,,747821.5185
5-10s,,,,,,,,,,34.9893
10-15s,,,,,,,,,,33.2525
15-20s,,,,,,,,,,28.9098
20-25s,,,,,,,,,,27.3918
25-30s,,,,,,,,,,28.5589
30-35s,,,,,,,,,,26.3784
35-40s,,,,,,,,,,24.9248
40-45s,,,,,,,,,,27.6013
45-50s,,,,,,,,,,24.8380
50-55s,,,,,,,,,,23.7093
55-60s,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,0.0000,4.9261,22.8522
1-2m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,22.5877
2-3m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.3910
3-4m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7820
4-5m,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7820
