bin_macro,5,6,7,8,9,10,11,12,13,14
55-60s,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,95.31,
1-2m,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,
2-3m,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
3-4m,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
4-5m,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
